## Generated from BK dipole with initial condition: MVe model, Qs0^2 = 5.964278e-02, e_c = 2.777157e+01, C^2 = 6.507842e+00, sigma0/2 = 1.494512e+01
## Fitted to file /home/caaucasu/sidis_fit/data/dipole/posterior/LOmvefit/27.dat
## Note definition of log S(k): log_S(k) = log10 S(k) = log10 [ \int r dr J0(k r) (1 - N(r)) ]
## log10 k grid ranges from -2 to 2 with 500 points
## y grid ranges from 0 to 8.0 with 100 points
y log10_k log10_S(k)
0.000000e+00 1.406814e+00 -7.383269e+00
0.000000e+00 1.414830e+00 -7.409136e+00
0.000000e+00 1.422846e+00 -7.435036e+00
0.000000e+00 1.430862e+00 -7.460971e+00
0.000000e+00 1.438878e+00 -7.486939e+00
0.000000e+00 1.446894e+00 -7.512942e+00
0.000000e+00 1.454910e+00 -7.538980e+00
0.000000e+00 1.462926e+00 -7.565053e+00
0.000000e+00 1.470942e+00 -7.591162e+00
0.000000e+00 1.478958e+00 -7.617308e+00
0.000000e+00 1.486974e+00 -7.643489e+00
0.000000e+00 1.494990e+00 -7.669708e+00
0.000000e+00 1.503006e+00 -7.695963e+00
0.000000e+00 1.511022e+00 -7.722257e+00
0.000000e+00 1.519038e+00 -7.748588e+00
0.000000e+00 1.527054e+00 -7.774958e+00
0.000000e+00 1.535070e+00 -7.801366e+00
0.000000e+00 1.543086e+00 -7.827813e+00
0.000000e+00 1.551102e+00 -7.854299e+00
0.000000e+00 1.559118e+00 -7.880825e+00
0.000000e+00 1.567134e+00 -7.907391e+00
0.000000e+00 1.575150e+00 -7.933997e+00
0.000000e+00 1.583166e+00 -7.960644e+00
0.000000e+00 1.591182e+00 -7.987331e+00
0.000000e+00 1.599198e+00 -8.014060e+00
0.000000e+00 1.607214e+00 -8.040830e+00
0.000000e+00 1.615230e+00 -8.067642e+00
0.000000e+00 1.623246e+00 -8.094495e+00
0.000000e+00 1.631263e+00 -8.121391e+00
0.000000e+00 1.639279e+00 -8.148329e+00
0.000000e+00 1.647295e+00 -8.175310e+00
0.000000e+00 1.655311e+00 -8.202334e+00
0.000000e+00 1.663327e+00 -8.229401e+00
0.000000e+00 1.671343e+00 -8.256511e+00
0.000000e+00 1.679359e+00 -8.283665e+00
0.000000e+00 1.687375e+00 -8.310862e+00
0.000000e+00 1.695391e+00 -8.338104e+00
0.000000e+00 1.703407e+00 -8.365389e+00
0.000000e+00 1.711423e+00 -8.392719e+00
0.000000e+00 1.719439e+00 -8.420093e+00
0.000000e+00 1.727455e+00 -8.447511e+00
0.000000e+00 1.735471e+00 -8.474975e+00
0.000000e+00 1.743487e+00 -8.502483e+00
0.000000e+00 1.751503e+00 -8.530036e+00
0.000000e+00 1.759519e+00 -8.557634e+00
0.000000e+00 1.767535e+00 -8.585277e+00
0.000000e+00 1.775551e+00 -8.612965e+00
0.000000e+00 1.783567e+00 -8.640699e+00
0.000000e+00 1.791583e+00 -8.668477e+00
0.000000e+00 1.799599e+00 -8.696302e+00
0.000000e+00 1.807615e+00 -8.724171e+00
0.000000e+00 1.815631e+00 -8.752086e+00
0.000000e+00 1.823647e+00 -8.780047e+00
0.000000e+00 1.831663e+00 -8.808052e+00
0.000000e+00 1.839679e+00 -8.836104e+00
0.000000e+00 1.847695e+00 -8.864200e+00
0.000000e+00 1.855711e+00 -8.892342e+00
0.000000e+00 1.863727e+00 -8.920529e+00
0.000000e+00 1.871743e+00 -8.948762e+00
0.000000e+00 1.879760e+00 -8.977040e+00
0.000000e+00 1.887776e+00 -9.005363e+00
0.000000e+00 1.895792e+00 -9.033731e+00
0.000000e+00 1.903808e+00 -9.062144e+00
0.000000e+00 1.911824e+00 -9.090601e+00
0.000000e+00 1.919840e+00 -9.119104e+00
0.000000e+00 1.927856e+00 -9.147651e+00
0.000000e+00 1.935872e+00 -9.176243e+00
0.000000e+00 1.943888e+00 -9.204878e+00
0.000000e+00 1.951904e+00 -9.233558e+00
0.000000e+00 1.959920e+00 -9.262282e+00
0.000000e+00 1.967936e+00 -9.291050e+00
0.000000e+00 1.975952e+00 -9.319861e+00
0.000000e+00 1.983968e+00 -9.348716e+00
0.000000e+00 1.991984e+00 -9.377614e+00
0.000000e+00 2.000000e+00 -9.406555e+00
8.080808e-02 -2.000000e+00 8.988755e-01
8.080808e-02 -1.991984e+00 8.988724e-01
8.080808e-02 -1.983968e+00 8.988711e-01
8.080808e-02 -1.975952e+00 8.988705e-01
8.080808e-02 -1.967936e+00 8.988701e-01
8.080808e-02 -1.959920e+00 8.988692e-01
8.080808e-02 -1.951904e+00 8.988673e-01
8.080808e-02 -1.943888e+00 8.988642e-01
8.080808e-02 -1.935872e+00 8.988597e-01
8.080808e-02 -1.927856e+00 8.988537e-01
8.080808e-02 -1.919840e+00 8.988462e-01
